BHID	UTM_East	UTM_North	UTM_RL	Max_Depth	Azimuth	Dip	Prospect	Hole_Status	Hole_Type	UTM_Grid_ID
PDH-119	388612.555	62315.56	459.5	212.3999939	123.4333331	-76.21666718	Pani	Completed	DDH	WGS84_51
PDH-12	388412.391	62107	557.7000122	175.8999939	124.0800003	-85.7	Pani	Completed	DDH	WGS84_51
PDH-120	388830.044	62168.02	436	120.8000031	125.0750008	-64.82499886	Pani	Completed	DDH	WGS84_51
PDH-121	388572.382	62327.01	446.5	165.5	131.9200052	-89.76000061	Pani	Completed	DDH	WGS84_51
PDH-122	388901.525	62195.5	425.2999878	60	125.100001	-65.36666616	Pani	Completed	DDH	WGS84_51
PDH-123	388291.838	62193.41	628.5999756	326.2000122	129.125	-85.60000229	Pani	Completed	DDH	WGS84_51
PDH-124	388910.569	62133.76	439.5	151.1000061	123.625	-67.25	Pani	Completed	DDH	WGS84_51
PDH-125	388643.397	62288.44	484.6000061	250	123.6500015	-67.66666794	Pani	Completed	DDH	WGS84_51
PDH-126	388741.048	62118.52	502.3999939	182	134.9400024	-67.38000031	Pani	Completed	DDH	WGS84_51
PDH-127	388461.688	62312.36	467.3999939	180.3999939	123.8600006	-71.45999908	Pani	Completed	DDH	WGS84_51
PDH-128	388700.882	62074.88	506.8999939	209.3999939	127.2500013	-68.75000127	Pani	Completed	DDH	WGS84_51
PDH-129	388319.738	62217.9	594.2999878	312.5	119.3375006	-81.16250038	Pani	Completed	DDH	WGS84_51
PDH-13	388430.672	62215.61	537.5	145.3000031	125.5750008	-81.07500076	Pani	Completed	DDH	WGS84_51
PDH-130	388406.494	62291.32	495	102.5999985	122.2749996	-70.80000114	Pani	Completed	DDH	WGS84_51
PDH-14	388437.354	62135.96	545.5999756	175.5	208.0999947	-89.82500076	Pani	Completed	DDH	WGS84_51
PDH-15	388524.049	62260.28	470.5	105	123.0000019	-70.70000076	Pani	Completed	DDH	WGS84_51
PDH-16A	388530.112	62210.19	463.3999939	115	118.7250004	-52.10000038	Pani	Completed	DDH	WGS84_51
PDH-16B	388530.112	62210.19	463.3999939	125	88.70000291	-89.72500038	Pani	Completed	DDH	WGS84_51
PDH-17	388441.794	62085.49	536.5999756	135	124.6500015	-71.87500191	Pani	Completed	DDH	WGS84_51
PDH-18	388450.614	62051.56	516.7000122	159.8000031	140.9800018	-85.77999878	Pani	Completed	DDH	WGS84_51
PDH-19	388581.262	62174.56	492.8999939	125	122.9249992	-50.94999981	Pani	Completed	DDH	WGS84_51
PDH-20	388484.301	62129.26	504.2999878	150.5	120.8199997	-76.2	Pani	Completed	DDH	WGS84_51
PDH-21	388602.411	62157.29	514.7000122	112.1999969	122.7250004	-47.94999981	Pani	Completed	DDH	WGS84_51
PDH-22	388640.663	62307.42	466.1000061	115	123	-50.45000076	Pani	Completed	DDH	WGS84_51
PDH-23	388563.969	62113.93	510.6000061	145	123	-45	Pani	Completed	DDH	WGS84_51
PDH-24	388706.341	62314.32	507.3999939	131	121.3499985	-73.20000076	Pani	Completed	DDH	WGS84_51
PDH-25	388745.339	62273.76	468.2000122	119.9000015	122.4250011	-65.47500038	Pani	Completed	DDH	WGS84_51
PDH-26A	388529.414	62087.44	503.5	164	120.2	-47.72000046	Pani	Completed	DDH	WGS84_51
PDH-26B	388527.698	62085.96	503.8999939	110	116.375	-80.35000038	Pani	Completed	DDH	WGS84_51
PDH-27	388756.666	62309.15	459.3999939	94.6999969	121.7000008	-67.22500038	Pani	Completed	DDH	WGS84_51
PDH-28	388809.415	62258.38	429.7999878	83.3000031	122.4000015	-61.09999975	Pani	Completed	DDH	WGS84_51
PDH-29A	388750.07	62185.85	494.2999878	60.2999992	122.5	-61.13333257	Pani	Completed	DDH	WGS84_51
PDH-29B	388749.533	62186.41	494.1000061	57.7999992	32.9666659	-89.10000102	Pani	Completed	DDH	WGS84_51
PDH-30	388494.381	62073.39	504.2999878	85	122.5249996	-57.02500057	Pani	Completed	DDH	WGS84_51
PDH-31	388719.199	62152.42	514.2000122	123.1999969	222.125	-89.52500153	Pani	Completed	DDH	WGS84_51
PDH-32	388470.039	62017.12	542.2999878	144	122.4799988	-66.38000031	Pani	Completed	DDH	WGS84_51
PDH-33	388690.144	62099.25	523.2000122	140	251.1500015	-88.89999962	Pani	Completed	DDH	WGS84_51
PDH-34	388672.4	62063.59	522	125.6999969	104.5499983	-89.27499962	Pani	Completed	DDH	WGS84_51
