BHID,Depth,UTM_Azimuth,Dip,DataSet,DHSurvey_Method
PDH-105,25,133.1000061,-89.5999985,Pani,Reflex
PDH-105,75,244.6999969,-89.8000031,Pani,Reflex
PDH-105,125,37.5999985,-89.6999969,Pani,Reflex
PDH-105,175,17.5,-89.6999969,Pani,Reflex
PDH-105,225,22.7000008,-89.1999969,Pani,Reflex
PDH-105,275,51.5,-89.6999969,Pani,Reflex
PDH-106,0,300,-60,Pani,
PDH-106,25,301.7999878,-59.2000008,Pani,Reflex
PDH-106,75,302,-59.5999985,Pani,Reflex
PDH-106,125,301.6000061,-60,Pani,Reflex
PDH-107,0,0,-90,Pani,
PDH-107,25,332.5,-89.8000031,Pani,Reflex
PDH-107,89,56.0999985,-89.6999969,Pani,Reflex
PDH-107,145,239.6999969,-89.5999985,Pani,Reflex
PDH-108,0,123,-55,Pani,
PDH-108,25,124.1999969,-58.0999985,Pani,Reflex
PDH-108,75,124.5999985,-59,Pani,Reflex
PDH-108,125,125.5999985,-60,Pani,Reflex
PDH-108,175,125.6999969,-60.2999992,Pani,Reflex
PDH-108,225,125.1999969,-61.4000015,Pani,Reflex
PDH-108,275,124.5999985,-62,Pani,Reflex
PDH-109B,0,123,-72,Pani,
PDH-109B,25,119.5,-74.3000031,Pani,Reflex
PDH-109B,75,118.5,-73.9000015,Pani,Reflex
PDH-109B,125,119.1999969,-73.8000031,Pani,Reflex
PDH-109B,175,118.0999985,-74.5,Pani,Reflex
PDH-109B,225,118.8000031,-74.8000031,Pani,Reflex
PDH-109B,275,118.0999985,-74.5,Pani,Reflex
PDH-109B,325,119.6999969,-74.5,Pani,Reflex
PDH-109B,375,120.5,-74.6999969,Pani,Reflex
PDH-109B,410,120.4000015,-74.6999969,Pani,Reflex
PDH-11,0,123,-70,Pani,
PDH-11,25,123.1999969,-71.5,Pani,Reflex
PDH-11,75,122.5999985,-72.5,Pani,Reflex
PDH-11,125,122.3000031,-72.6999969,Pani,Reflex
PDH-11,185,122,-73.3000031,Pani,Reflex
PDH-110,0,123,-65,Pani,
PDH-110,25,127.8000031,-68.4000015,Pani,Reflex
PDH-110,75,127.4000015,-68.5,Pani,Reflex
PDH-110,125,127.5,-68.4000015,Pani,Reflex
PDH-110,175,127.5999985,-68.6999969,Pani,Reflex
PDH-110,225,128,-69,Pani,Reflex
PDH-110,267,127.9000015,-69.0999985,Pani,Reflex
PDH-111,0,123,-55,Pani,
PDH-111,25,126.6999969,-57.9000015,Pani,Reflex
PDH-111,75,127.1999969,-58.2000008,Pani,Reflex
PDH-111,125,123.8000031,-58.5999985,Pani,Reflex
PDH-111,175,124,-58.7000008,Pani,Reflex
PDH-111,225,124.3000031,-59.4000015,Pani,Reflex
PDH-111,275,123.3000031,-60.5,Pani,Reflex
PDH-112,0,123,-65,Pani,
PDH-112,25,118.4000015,-67.3000031,Pani,Reflex
PDH-112,75,118.6999969,-67.1999969,Pani,Reflex
PDH-113,0,123,-65,Pani,
PDH-113,25,121.5999985,-65.5,Pani,Reflex
