BHID,Depth,UTM_Azimuth,Dip,DataSet,DHSurvey_Method
PDH-66,125,122.5,-66,Pani,Reflex
PDH-66,175,123.5,-66.6999969,Pani,Reflex
PDH-66,225,121.3000031,-65.9000015,Pani,Reflex
PDH-67,0,123,-65,Pani,
PDH-67,25,127.1999969,-68.1100006,Pani,Reflex
PDH-67,75,127.0999985,-68.0999985,Pani,Reflex
PDH-67,125,128.6999969,-68.0999985,Pani,Reflex
PDH-67,175,130.1999969,-68,Pani,Reflex
PDH-68,0,123,-60,Pani,
PDH-68,25,121.4000015,-64.6999969,Pani,Reflex
PDH-68,75,120.8000031,-64.8000031,Pani,Reflex
PDH-68,125,121,-65.5999985,Pani,Reflex
PDH-68,165,122.5,-65.8000031,Pani,Reflex
PDH-69,0,123,-70,Pani,
PDH-69,25,118.5,-72.4000015,Pani,Reflex
PDH-69,75,119.9000015,-72.4000015,Pani,Reflex
PDH-69,125,120.3000031,-72.1999969,Pani,Reflex
PDH-69,175,117.1999969,-72.6999969,Pani,Reflex
PDH-69,225,117.6999969,-72.5999985,Pani,Reflex
PDH-69,281,118.4000015,-72.4000015,Pani,Reflex
PDH-70,0,123,-57,Pani,
PDH-70,25,123.4000015,-58.4000015,Pani,Reflex
PDH-70,35,123.6999969,-58.7999992,Pani,Reflex
PDH-70,75,124.0999985,-59.0999985,Pani,Reflex
PDH-70,125,124.3000031,-60.2000008,Pani,Reflex
PDH-71,0,123,-85,Pani,
PDH-71,25,124.1999969,-86.4000015,Pani,Reflex
PDH-71,75,120.8000031,-86.4000015,Pani,Reflex
PDH-71,125,116.4000015,-86.8000031,Pani,Reflex
PDH-71,175,109.0999985,-86.4000015,Pani,Reflex
PDH-71,225,113.9000015,-86.6999969,Pani,Reflex
PDH-71,275,111.8000031,-86.4000015,Pani,Reflex
PDH-72,0,123,-65,Pani,
PDH-72,25,122.3000031,-66.5999985,Pani,Reflex
PDH-72,75,122.1999969,-66,Pani,Reflex
PDH-72,128.8999939,122.3000031,-66.1999969,Pani,Reflex
PDH-73,0,123,-65,Pani,
PDH-73,25,122.6999969,-67.4000015,Pani,Reflex
PDH-73,75,122.8000031,-68.0999985,Pani,Reflex
PDH-73,129.5,122.1999969,-68.0999985,Pani,Reflex
PDH-74,0,123,-65,Pani,
PDH-74,25,125.9000015,-67.6999969,Pani,Reflex
PDH-74,75,125.8000031,-68.0999985,Pani,Reflex
PDH-74,104.3000031,126.3000031,-68.0999985,Pani,Reflex
PDH-75,0,123,-80,Pani,
PDH-75,25,125.5999985,-84,Pani,Reflex
PDH-75,75,125.5,-84.3000031,Pani,Reflex
PDH-75,125,121,-84.4000015,Pani,Reflex
PDH-75,175,122.5,-84.6999969,Pani,Reflex
PDH-75,225,123.6999969,-85.0999985,Pani,Reflex
PDH-76,0,123,-65,Pani,
PDH-76,25,127.5,-66.5,Pani,Reflex
PDH-76,75,127.6999969,-67.1999969,Pani,Reflex
PDH-76,111.6999969,128.3000031,-67.8000031,Pani,Reflex
PDH-77,0,123,-90,Pani,
PDH-77,25,317.3999939,-89.6999969,Pani,Reflex
PDH-77,75,109.3000031,-89.3000031,Pani,Reflex
PDH-77,125,18.7000008,-89.5999985,Pani,
PDH-77,175,67.6999969,-89.1999969,Pani,
PDH-77,225,24.7000008,-89,Pani,
PDH-77,275,11.8999996,-89.3000031,Pani,
PDH-77,323,23.8999996,-89.3000031,Pani,
PDH-78,0,123,-65,Pani,
PDH-78,25,123.3000031,-66.6999969,Pani,Reflex
PDH-78,75,124.0999985,-66.6999969,Pani,Reflex
PDH-79,0,123,-90,Pani,
PDH-79,25,243.8000031,-89.4000015,Pani,Reflex
PDH-79,75,233.6999969,-89.8000031,Pani,Reflex
PDH-79,125,314.6000061,-89.3000031,Pani,Reflex
PDH-79,175,330.1000061,-89.5,Pani,Reflex
PDH-79,225,70.1999969,-89.8000031,Pani,Reflex
PDH-79,275,266.5,-89.5,Pani,Reflex
PDH-79,353,261.5,-89.8000031,Pani,Reflex
PDH-80,0,123,-65,Pani,
PDH-80,25,122.5,-67.0999985,Pani,Reflex
PDH-80,78,122.6999969,-68.0999985,Pani,Reflex
PDH-80,125,122.1999969,-68.0999985,Pani,Reflex
PDH-80,174.3000031,122,-68.6999969,Pani,Reflex
PDH-81,0,123,-65,Pani,
PDH-81,25,121.5,-67.3000031,Pani,Reflex
PDH-81,75,120.3000031,-68.3000031,Pani,Reflex
PDH-81,125,120.9000015,-68.4000015,Pani,Reflex
PDH-82,0,123,-65,Pani,
PDH-82,25,120.1999969,-67.0999985,Pani,Reflex
PDH-82,75,118.5,-68.4000015,Pani,Reflex
PDH-82,125,116.3000031,-69.8000031,Pani,Reflex
PDH-82,166.5,116.6999969,-69.8000031,Pani,Reflex
PDH-83,0,123,-80,Pani,
PDH-83,25,118.4000015,-81.0999985,Pani,Reflex
PDH-83,75,116.5,-81.5,Pani,Reflex
PDH-83,125,116.1999969,-81.0999985,Pani,Reflex
PDH-83,175,116.3000031,-81.5999985,Pani,Reflex
PDH-83,225,116.3000031,-81.4000015,Pani,Reflex
PDH-83,275,115,-82,Pani,Reflex
PDH-83,325,116.8000031,-81.9000015,Pani,Reflex
PDH-84,0,123,-65,Pani,
PDH-84,25,125.4000015,-66.6999969,Pani,Reflex
PDH-84,75,124.4000015,-67.1999969,Pani,Reflex
PDH-84,125,124.6999969,-68,Pani,Reflex
PDH-85,0,123,-65,Pani,
PDH-85,25,119.1999969,-66.4000015,Pani,Reflex
PDH-85,75,119.4000015,-67.1999969,Pani,Reflex
PDH-86,0,123,-65,Pani,
PDH-86,25,121.0999985,-69,Pani,Reflex
PDH-86,75,119,-70.0999985,Pani,Reflex
PDH-86,125,117.1999969,-71.0999985,Pani,Reflex
PDH-87,0,123,-68,Pani,
PDH-87,25,126.3000031,-69.4000015,Pani,Reflex
PDH-87,75,126.9000015,-68.9000015,Pani,Reflex
PDH-87,125,126.5999985,-68.6999969,Pani,Reflex
PDH-87,175,126.4000015,-69,Pani,Reflex
PDH-87,225,126.5999985,-68.9000015,Pani,Reflex
PDH-87,275,126,-68.8000031,Pani,Reflex
PDH-87,329,127,-68.9000015,Pani,Reflex
PDH-87,375,127.0999985,-68.5999985,Pani,Reflex
PDH-88,0,123,-65,Pani,
PDH-88,25,121,-68.3000031,Pani,Reflex
PDH-88,75,121.0999985,-68.5999985,Pani,Reflex
PDH-88,125,121.9000015,-68.8000031,Pani,Reflex
PDH-88,161,121.5,-68.9000015,Pani,Reflex
PDH-89,0,123,-65,Pani,
PDH-89,25,123.5,-67.0999985,Pani,Reflex
PDH-89,75,124.1999969,-68,Pani,Reflex
PDH-89,125,123.4000015,-68.9000015,Pani,Reflex
PDH-89,151,122.9000015,-69.0999985,Pani,Reflex
PDH-90,0,123,-65,Pani,
PDH-90,25,122.3000031,-66.4000015,Pani,Reflex
PDH-90,75,122,-66.6999969,Pani,Reflex
PDH-90,125,122.5,-65.9000015,Pani,Reflex
PDH-90,175,122.3000031,-66.3000031,Pani,Reflex
PDH-90,225,123.0999985,-66.6999969,Pani,Reflex
PDH-91,0,123,-65,Pani,
PDH-91,25,126.8000031,-67.1999969,Pani,Reflex
PDH-91,75,129.3999939,-68.0999985,Pani,Reflex
PDH-91,126.5,129.6000061,-68.8000031,Pani,Reflex
PDH-92,0,0,-90,Pani,
PDH-92,25,147.6000061,-89.3000031,Pani,Reflex
PDH-92,75,139,-89.4000015,Pani,Reflex
PDH-92,125,151.3999939,-89.4000015,Pani,Reflex
PDH-92,175,158.3999939,-89.0999985,Pani,Reflex
PDH-93,0,123,-65,Pani,
PDH-93,25,125.0999985,-69.3000031,Pani,Reflex
PDH-93,75,125.0999985,-69.6999969,Pani,Reflex
PDH-93,125,126.0999985,-70.1999969,Pani,Reflex
PDH-93,175,126.1999969,-71.1999969,Pani,Reflex
PDH-94,0,123,-65,Pani,
PDH-94,25,125.1999969,-68.9000015,Pani,Reflex
PDH-94,75,125.0999985,-69.5,Pani,Reflex
PDH-94,125,125.5999985,-69.5,Pani,Reflex
PDH-94,175,125.6999969,-69.0999985,Pani,Reflex
PDH-94,225,124.4000015,-69,Pani,Reflex
PDH-94,275,124.6999969,-69,Pani,Reflex
PDH-94,325,129.6999969,-65.9000015,Pani,Reflex
PDH-94,375.5,130.5,-66.4000015,Pani,Reflex
PDH-95,0,123,-65,Pani,
PDH-95,25,125.4000015,-67.0999985,Pani,Reflex
PDH-95,75,125.8000031,-67,Pani,Reflex
PDH-95,125,126,-66.9000015,Pani,Reflex
PDH-95,175,126.6999969,-66.8000031,Pani,Reflex
PDH-95,225,127.3000031,-67.1999969,Pani,Reflex
PDH-95,238.5,127.3000031,-67.3000031,Pani,Reflex
PDH-96,0,30,-60,Pani,
PDH-96,25,30.2999992,-60.9000015,Pani,Reflex
PDH-96,75,30.2000008,-61,Pani,Reflex
PDH-96,125,30.1000004,-61.2999992,Pani,Reflex
PDH-96,175,31.7999992,-62.2000008,Pani,Reflex
PDH-97,0,123,-65,Pani,
PDH-97,25,121.9000015,-66.5,Pani,Reflex
PDH-97,75,122.0999985,-67.0999985,Pani,Reflex
PDH-97,125,122.5,-67.5999985,Pani,Reflex
PDH-97,175,122.5999985,-67.9000015,Pani,Reflex
PDH-97,225,122.8000031,-67.8000031,Pani,Reflex
PDH-97,275,122.5,-67.9000015,Pani,Reflex
PDH-98,0,120,-60,Pani,
PDH-98,25,122.4000015,-61.2999992,Pani,Reflex
PDH-98,75,122.4000015,-61.5,Pani,Reflex
PDH-98,125,122.3000031,-61,Pani,Reflex
PDH-98,175,122.9000015,-60.9000015,Pani,Reflex
PDH-99,0,120,-60,Pani,
PDH-99,25,113.5,-60.5,Pani,Reflex
PDH-99,75,113.0999985,-60.0999985,Pani,Reflex
PDH-99,125,112.6999969,-59.7999992,Pani,Reflex
